Date,Wt,Steps,COut,CIn
5/12/2018,192.5,23938,3620,1417
5/13/2018,192.7,25926,3737,1761
5/14/2018,190.5,23516,3561,1922
5/15/2018,189.7,19930,3287,1386
5/16/2018,188.5,13317,2833,2087
5/17/2018,189.8,21916,3462,1703
5/18/2018,189.2,20778,3329,2492
5/19/2018,,17754,3130,2679
5/20/2018,,17791,3140,2645
5/21/2018,,24522,3589,2749
5/22/2018,,16038,3093,1553
5/23/2018,190,18979,3307,2990
5/24/2018,190,8217,2550,2850
5/25/2018,,20190,3338,3533
5/26/2018,,28092,3916,3824
5/27/2018,,24623,3615,2467
5/28/2018,192,14993,3061,3217
5/29/2018,191.8,18805,3241,761
5/30/2018,,22641,3473,1445
5/31/2018,,24529,3691,1586
6/1/2018,188.5,23218,3684,1822
6/2/2018,193.3,23598,3763,3025
6/3/2018,188,17583,3293,2950
6/4/2018,190.9,20894,3332,1703
6/5/2018,186.5,15198,3002,1668
6/6/2018,,19780,3205,2024
6/7/2018,,20483,3309,1672
6/8/2018,,23526,3622,2932
6/9/2018,185.2,17550,3146,3125
6/10/2018,,15019,2986,1763
6/11/2018,185.6,16852,3046,2592
6/12/2018,,23669,3485,
6/13/2018,,12797,2817,
6/14/2018,,10376,2588,
6/15/2018,,11956,2706,
6/16/2018,,15575,2961,
6/17/2018,,9197,2713,
6/18/2018,191.6,22888,3489,1388
6/19/2018,185.8,23861,3601,2129
6/20/2018,183.6,21054,3385,1901
6/21/2018,183.6,23255,3521,1946
6/22/2018,182.3,26592,3840,2650
6/23/2018,185.6,13366,2999,2723
6/24/2018,185.8,23356,3490,1636
6/25/2018,183.4,17885,3156,2549
6/26/2018,182.8,21438,3319,2174
6/27/2018,,19815,3276,1898
6/28/2018,,19034,3168,2262
6/29/2018,,18895,3183,3323
6/30/2018,,18617,3112,1886
7/1/2018,,23253,3679,3079
7/2/2018,187.2,24041,3637,1072
7/3/2018,182.1,22512,3533,2211
7/4/2018,181.2,21434,3505,2573
7/5/2018,183.6,22617,3495,2324
7/6/2018,181.2,24054,3591,2733
7/7/2018,180.1,22473,3493,2163
7/8/2018,182.8,12989,2767,2061
7/9/2018,,19918,3220,2453
7/10/2018,,16956,3020,2975
7/11/2018,,12961,2798,3276
7/12/2018,,19125,3137,3217
7/13/2018,,12222,2740,2743
7/14/2018,,21185,3328,2713
7/15/2018,,20733,3231,3614
7/16/2018,,24135,3492,3105
7/17/2018,,25693,3588,3145
7/18/2018,,10057,3215,2960
7/19/2018,185.8,21322,3457,3035
7/20/2018,183.9,21148,3318,3122
7/21/2018,184.3,25977,3811,2815
7/22/2018,183.4,20347,3371,2814
7/23/2018,185,16574,3059,2166
7/24/2018,,15658,3090,3192
7/25/2018,,16704,3173,3345
7/26/2018,,16547,3060,3235
7/27/2018,,16645,3168,1387
7/28/2018,183.6,19386,3315,1617
7/29/2018,182.8,19510,3345,1597
7/30/2018,181.4,20585,3302,1852
7/31/2018,179.9,19685,3276,2229
8/1/2018,180.1,17185,3068,2214
8/2/2018,180.1,15653,3038,2231
8/3/2018,181.4,17940,3104,2465
8/4/2018,179.2,17423,3113,3028
8/5/2018,,15017,2916,3004
8/6/2018,,18349,3123,1425
8/7/2018,180.1,15771,2978,3178
8/8/2018,180.3,20897,3297,2847
8/9/2018,181.7,14830,2956,3250
8/10/2018,181.9,19677,3248,1999
8/11/2018,179.9,,,
